"Points:0","Points:1","Points:2"
-7.3773907339000004e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-6.7837520471100001e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-6.2311517981400000e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-5.7170932003299999e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-5.2391823588299999e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-4.7951315833099999e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-4.3827611872799999e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-4.0000000000000000e+00,-5.0000000000000000e-01,1.2168200414100001e+00
-1.3000000000000000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1958469404900001e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1444163009600000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1174176867000000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1000000000000000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0836364388400000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0664362367600000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0483937847800000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0295086479500000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0097860760700000e+02,-5.0000000000000000e-01,1.2782403260499999e+00
-9.8923747142099998e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-9.6788079627700000e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-9.4574090225199996e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-9.2284976375300005e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-8.9924659899199995e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-8.7497786392099997e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-8.5009710736800002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-8.2466467948299993e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-7.9874729018400004e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-7.7241741948400005e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-7.4575258718100002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-7.1883449500699996e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-6.9174805972900003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-6.6458036047299998e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-6.3741952743299997e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-6.1035360181000001e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-5.8346939820400003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-5.5685140052900003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-5.3058072098300002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-5.0473414869400003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-4.7938331062800003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-4.5459396243299999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-4.3042542146599999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-4.0693014857999998e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-3.8415347973199999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-3.6213350333800001e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-3.4090107482500002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-3.2047995615700003e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-3.0088706534300002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.8213281909700001e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.6422155090099999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.4715198656999998e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.3091776004900002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.1550795325900001e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-2.0090764544199999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.8709845921599999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.7405909263000002e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.6176582844199999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.5019301388900001e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.3931350599800000e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.2909907920000000e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1952079343799999e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.1054932221900000e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-1.0215524107700000e+01,-5.0000000000000000e-01,1.2782403260499999e+00
-9.4309277732400005e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-8.6982525838499996e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-8.0146624663699999e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-7.3773907339000004e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-6.7837520471100001e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-6.2311517981400000e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-5.7170932003299999e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-5.2391823588299999e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-4.7951315833099999e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-4.3827611872799999e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-4.0000000000000000e+00,-5.0000000000000000e-01,1.2782403260499999e+00
-1.3000000000000000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.1958469404900001e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.1444163009600000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.1174176867000000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.1000000000000000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.0836364388400000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.0664362367600000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.0483937847800000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.0295086479500000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-1.0097860760700000e+02,-5.0000000000000000e-01,1.3560856108899999e+00
-9.8923747142099998e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-9.6788079627700000e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-9.4574090225199996e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-9.2284976375300005e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-8.9924659899199995e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-8.7497786392099997e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-8.5009710736800002e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-8.2466467948299993e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-7.9874729018400004e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-7.7241741948400005e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-7.4575258718100002e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-7.1883449500699996e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-6.9174805972900003e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-6.6458036047299998e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-6.3741952743299997e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-6.1035360181000001e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-5.8346939820400003e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-5.5685140052900003e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-5.3058072098300002e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-5.0473414869400003e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-4.7938331062800003e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-4.5459396243299999e+01,-5.0000000000000000e-01,1.3560856108899999e+00
-4.3042542146599999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-4.0693014857999998e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-3.8415347973199999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-3.6213350333800001e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-3.4090107482500002e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-3.2047995615700003e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-3.0088706534300002e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.8213281909700001e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.6422155090099999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.4715198656999998e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.3091776004900002e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.1550795325900001e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-2.0090764544199999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.8709845921599999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.7405909263000002e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.6176582844199999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.5019301388900001e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.3931350599800000e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.2909907920000000e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.1952079343799999e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.1054932221900000e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-1.0215524107700000e+01,-5.0000000000000000e-01,1.3560856108799999e+00
-9.4309277732400005e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-8.6982525838499996e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-8.0146624663699999e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-7.3773907339000004e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-6.7837520471100001e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-6.2311517981400000e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-5.7170932003299999e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-5.2391823588299999e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-4.7951315833099999e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-4.3827611872799999e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-4.0000000000000000e+00,-5.0000000000000000e-01,1.3560856108799999e+00
-1.3000000000000000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1958469404900001e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1444163009600000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1174176867000000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1000000000000000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0836364388400000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0664362367600000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0483937847800000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0295086479500000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0097860760700000e+02,-5.0000000000000000e-01,1.4542560012600001e+00
-9.8923747142099998e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-9.6788079627700000e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-9.4574090225199996e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-9.2284976375300005e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-8.9924659899199995e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-8.7497786392099997e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-8.5009710736800002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-8.2466467948299993e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-7.9874729018400004e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-7.7241741948400005e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-7.4575258718100002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-7.1883449500699996e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-6.9174805972900003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-6.6458036047299998e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-6.3741952743299997e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-6.1035360181000001e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-5.8346939820400003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-5.5685140052900003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-5.3058072098300002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-5.0473414869400003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-4.7938331062800003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-4.5459396243299999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-4.3042542146599999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-4.0693014857999998e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-3.8415347973199999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-3.6213350333800001e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-3.4090107482500002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-3.2047995615700003e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-3.0088706534300002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.8213281909700001e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.6422155090099999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.4715198656999998e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.3091776004900002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.1550795325900001e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-2.0090764544199999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.8709845921599999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.7405909263000002e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.6176582844199999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.5019301388900001e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.3931350599800000e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.2909907920000000e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1952079343799999e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.1054932221900000e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-1.0215524107700000e+01,-5.0000000000000000e-01,1.4542560012600001e+00
-9.4309277732400005e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-8.6982525838499996e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-8.0146624663699999e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-7.3773907339000004e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-6.7837520471100001e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-6.2311517981400000e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-5.7170932003299999e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-5.2391823588299999e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-4.7951315833099999e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-4.3827611872799999e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-4.0000000000000000e+00,-5.0000000000000000e-01,1.4542560012600001e+00
-1.3000000000000000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.1958469404900001e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.1444163009600000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.1174176867000000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.1000000000000000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.0836364388400000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.0664362367600000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.0483937847800000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.0295086479500000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-1.0097860760700000e+02,-5.0000000000000000e-01,1.5772803436800000e+00
-9.8923747142099998e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-9.6788079627700000e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-9.4574090225199996e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-9.2284976375300005e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-8.9924659899199995e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-8.7497786392099997e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-8.5009710736800002e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-8.2466467948299993e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-7.9874729018400004e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-7.7241741948400005e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-7.4575258718100002e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-7.1883449500699996e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-6.9174805972900003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-6.6458036047299998e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-6.3741952743299997e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-6.1035360181000001e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-5.8346939820400003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-5.5685140052900003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-5.3058072098300002e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-5.0473414869400003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-4.7938331062800003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-4.5459396243299999e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-4.3042542146599999e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-4.0693014857999998e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-3.8415347973199999e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-3.6213350333800001e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-3.4090107482500002e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-3.2047995615700003e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-3.0088706534300002e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-2.8213281909700001e+01,-5.0000000000000000e-01,1.5772803436800000e+00
-2.6422155090099999e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-2.4715198656999998e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-2.3091776004900002e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-2.1550795325900001e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-2.0090764544199999e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.8709845921599999e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.7405909263000002e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.6176582844199999e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.5019301388900001e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.3931350599800000e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.2909907920000000e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.1952079343799999e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.1054932221900000e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-1.0215524107700000e+01,-5.0000000000000000e-01,1.5772803436700000e+00
-9.4309277732400005e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-8.6982525838499996e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-8.0146624663699999e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-7.3773907339000004e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-6.7837520471100001e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-6.2311517981400000e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-5.7170932003299999e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-5.2391823588299999e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-4.7951315833099999e+00,-5.0000000000000000e-01,1.5772803436700000e+00
-4.3827611872799999e+00,-5.0000000000000000e-01,1.5772803436700000e+00
